Date,Refined_Sentiment
2020-04-19,-0.21
2020-04-22,-0.07
2020-04-23,-0.12
2020-04-24,0.12
2020-04-25,0.06
2020-04-26,-0.14
2020-04-27,0.22
2020-04-28,-0.2
2020-04-29,0.08
2020-04-30,-0.13
2020-05-01,0.31
2020-05-02,-0.16
2020-05-03,0.02
2020-05-04,-0.21
2020-05-05,-0.28
2020-05-06,-0.12
2020-05-07,0.19
2020-05-08,-0.36
2020-05-09,-0.03
2020-05-10,-0.17
2020-05-11,0.03
2020-05-12,-0.42
2020-05-13,-0.26
2020-05-14,-0.09
2020-05-15,0.5
2020-05-16,-0.05
2020-05-17,-0.16
2020-05-18,0.11
2020-05-19,-0.15
2020-05-20,0.08
2020-05-22,0.12
2020-05-23,-0.02
2020-05-24,-0.15
2020-05-25,-0.28
2020-05-26,-0.25
2020-05-27,0.05
2020-05-28,-0.07
2020-05-29,-0.54
2020-05-30,-0.11
2020-05-31,-0.15
2020-06-01,-0.31
2020-06-03,0.22
2020-06-04,-0.33
2020-06-05,-0.12
2020-06-06,0.0
2020-06-07,-0.24
2020-06-08,-0.22
2020-06-09,-0.11
2020-06-10,0.03
2020-06-11,-0.05
2020-06-12,0.18
2020-06-13,-0.03
2020-06-14,0.03
2020-06-15,0.16
2020-06-17,0.11
2020-06-19,0.0
2020-06-20,-0.35
